alpha,nested_best,accuracy,f1_paper,f1_deploy,AR,AR_available,TVS,IUS_paper,IUS_deploy,IUS_geo,n_features,stability,prec@20%,recall@20%,cv_mean,cv_std,selected
0.0,False,73.25,73.27,73.27,0.73,0.73,1.0,53.485,53.485,81.173,10,1.0,0.949,0.359,72.2,1.22,date_registration|sum_click_to_date|days_active_to_date|n_distinct_activities|forum_clicks|resource_clicks|oucontent_clicks|subpage_clicks|quiz_clicks|homepage_clicks
0.25,True,77.44,77.42,77.42,0.73,0.73,1.0,56.519,56.519,82.68,10,0.819,0.985,0.373,76.25,1.24,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks|n_distinct_activities|avg_first_submit_gap_days|forum_clicks
0.5,False,77.42,77.42,77.42,0.73,0.73,1.0,56.517,56.517,82.678,10,0.843,0.983,0.372,76.4,1.11,assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks|n_distinct_activities|date_registration|avg_first_submit_gap_days|forum_clicks
0.75,False,80.58,80.59,80.59,0.56,0.56,1.0,45.131,45.131,76.705,10,0.871,0.985,0.373,79.46,1.26,assessment_on_time_rate|score_TMA1|days_active_to_date|weighted_assessment_score_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks|n_distinct_activities|avg_first_submit_gap_days
1.0,False,80.52,80.53,80.53,0.49,0.49,1.0,39.46,39.46,73.347,10,1.0,0.985,0.373,79.6,1.21,score_TMA1|weighted_assessment_score_to_date|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks|n_distinct_activities|score_CMA1
