seed,horizon,alpha_full,alpha_notemp,f1_full_paper,f1_notemp_paper,f1_full_deploy,f1_notemp_deploy,precision20_full_deploy,recall20_full_deploy,precision20_notemp_deploy,recall20_notemp_deploy,AR_full,AR_notemp,AR_available_full,AR_available_notemp,IUS_paper_full,IUS_paper_notemp,IUS_deploy_old_full,IUS_deploy_old_notemp,IUS_deploy_full,IUS_deploy_notemp,tau_full,tau_notemp,full_has_T3,notemp_has_T3,n_full,n_notemp,selected_full,selected_notemp
42,2,0.25,0.25,84.29247074462609,84.36981870157082,84.29247074462609,84.36981870157082,99.84650805832693,37.79779198140616,99.84650805832693,37.79779198140616,0.73,0.73,0.73,0.73,61.53350364357705,61.58996765214669,61.53350364357705,61.58996765214669,61.53350364357705,61.58996765214669,0.0,0.0,False,False,10,10,date_registration|assessment_submitted_count|days_active_to_date|click_intensity_last_7d|assessment_on_time_rate|sum_click_to_date|n_distinct_activities|homepage_clicks|avg_first_submit_gap_days|oucontent_clicks,date_registration|assessment_submitted_count|click_intensity_last_7d|days_active_to_date|assessment_on_time_rate|n_distinct_activities|homepage_clicks|sum_click_to_date|avg_first_submit_gap_days|oucontent_clicks
123,2,0.25,0.25,84.0766193225679,83.71725670284003,84.0766193225679,83.71725670284003,99.61627014581734,37.71063335270192,99.7697620874904,37.76873910517141,0.73,0.73,0.73,0.73,61.37593210547456,61.11359739307321,61.37593210547456,61.11359739307321,61.37593210547456,61.11359739307321,0.0,0.0,False,False,10,10,date_registration|assessment_submitted_count|click_intensity_last_7d|days_active_to_date|assessment_on_time_rate|sum_click_to_date|n_distinct_activities|homepage_clicks|avg_first_submit_gap_days|oucontent_clicks,date_registration|assessment_submitted_count|click_intensity_last_7d|days_active_to_date|assessment_on_time_rate|n_distinct_activities|homepage_clicks|sum_click_to_date|avg_first_submit_gap_days|forum_clicks
456,2,0.25,0.25,83.42321348013931,83.87844318916255,83.42321348013931,83.87844318916255,99.84650805832693,37.79779198140616,99.84650805832693,37.79779198140616,0.73,0.73,0.73,0.73,60.898945840501696,61.23126352808866,60.898945840501696,61.23126352808866,60.898945840501696,61.23126352808866,0.0,0.0,False,False,10,10,date_registration|assessment_submitted_count|click_intensity_last_7d|days_active_to_date|assessment_on_time_rate|sum_click_to_date|n_distinct_activities|homepage_clicks|avg_first_submit_gap_days|subpage_clicks,date_registration|assessment_submitted_count|click_intensity_last_7d|days_active_to_date|assessment_on_time_rate|n_distinct_activities|homepage_clicks|sum_click_to_date|avg_first_submit_gap_days|forum_clicks
789,2,0.25,0.5,83.31462644891306,83.31017993278029,83.31462644891306,83.31017993278029,99.46277820414429,37.652527600232425,99.7697620874904,37.76873910517141,0.73,0.73,0.73,0.73,60.819677307706534,60.8164313509296,60.819677307706534,60.8164313509296,60.819677307706534,60.8164313509296,0.0,0.0,False,False,10,10,date_registration|assessment_submitted_count|click_intensity_last_7d|days_active_to_date|assessment_on_time_rate|sum_click_to_date|n_distinct_activities|homepage_clicks|avg_first_submit_gap_days|oucontent_clicks,assessment_submitted_count|click_intensity_last_7d|days_active_to_date|assessment_on_time_rate|n_distinct_activities|sum_click_to_date|homepage_clicks|date_registration|avg_first_submit_gap_days|oucontent_clicks
1011,2,0.25,0.25,83.25206511728864,82.94838445092412,83.25206511728864,82.94838445092412,99.61627014581734,37.71063335270192,99.7697620874904,37.76873910517141,0.73,0.73,0.73,0.73,60.7740075356207,60.552320649174604,60.7740075356207,60.552320649174604,60.7740075356207,60.552320649174604,0.0,0.0,False,False,10,10,date_registration|assessment_submitted_count|days_active_to_date|click_intensity_last_7d|assessment_on_time_rate|sum_click_to_date|n_distinct_activities|homepage_clicks|avg_first_submit_gap_days|subpage_clicks,date_registration|assessment_submitted_count|click_intensity_last_7d|days_active_to_date|assessment_on_time_rate|n_distinct_activities|homepage_clicks|sum_click_to_date|avg_first_submit_gap_days|forum_clicks
2024,2,0.25,0.5,84.14661917688161,83.97656818009432,84.14661917688161,83.97656818009432,99.53952417498081,37.68158047646717,99.7697620874904,37.76873910517141,0.73,0.73,0.73,0.73,61.42703199912357,61.30289477146885,61.42703199912357,61.30289477146885,61.42703199912357,61.30289477146885,0.0,0.0,False,False,10,10,date_registration|assessment_submitted_count|click_intensity_last_7d|days_active_to_date|assessment_on_time_rate|sum_click_to_date|n_distinct_activities|homepage_clicks|avg_first_submit_gap_days|oucontent_clicks,assessment_submitted_count|click_intensity_last_7d|days_active_to_date|assessment_on_time_rate|n_distinct_activities|sum_click_to_date|homepage_clicks|date_registration|avg_first_submit_gap_days|forum_clicks
3033,2,0.25,0.25,83.65986552381955,83.90829700914583,83.65986552381955,83.90829700914583,99.7697620874904,37.76873910517141,99.84650805832693,37.79779198140616,0.73,0.73,0.73,0.73,61.07170183238827,61.253056816676455,61.07170183238827,61.253056816676455,61.07170183238827,61.253056816676455,0.0,0.0,False,False,10,10,date_registration|assessment_submitted_count|days_active_to_date|click_intensity_last_7d|assessment_on_time_rate|sum_click_to_date|n_distinct_activities|homepage_clicks|avg_first_submit_gap_days|subpage_clicks,date_registration|assessment_submitted_count|click_intensity_last_7d|days_active_to_date|assessment_on_time_rate|n_distinct_activities|homepage_clicks|sum_click_to_date|avg_first_submit_gap_days|subpage_clicks
4044,2,0.25,0.25,82.95309586323022,82.96723914242037,82.95309586323022,82.96723914242037,99.53952417498081,37.68158047646717,99.38603223330776,37.623474723997674,0.73,0.73,0.73,0.73,60.555759980158065,60.56608457396687,60.555759980158065,60.56608457396687,60.555759980158065,60.56608457396687,0.0,0.0,False,False,10,10,date_registration|assessment_submitted_count|click_intensity_last_7d|days_active_to_date|assessment_on_time_rate|sum_click_to_date|n_distinct_activities|homepage_clicks|avg_first_submit_gap_days|oucontent_clicks,date_registration|assessment_submitted_count|click_intensity_last_7d|days_active_to_date|assessment_on_time_rate|n_distinct_activities|homepage_clicks|sum_click_to_date|avg_first_submit_gap_days|forum_clicks
