seed,dataset,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,math,2,68.92518550851156,68.92518550851156,26.389315638260786,52.25832872961351,68.92518550851156,68.92518550851156,26.389315638260786,52.25832872961351,0.7866666666666665,0.7866666666666665,0.7866666666666665,87.61676123963336,87.61676123963336,1.0,1.0,0.5,0.5,15,15
123,math,2,76.09045381553476,76.09045381553476,26.783839743068246,56.41333850534222,76.09045381553476,76.09045381553476,26.783839743068246,56.41333850534222,0.8333333333333331,0.8333333333333331,0.8333333333333331,91.30854457864174,91.30854457864174,1.0,1.0,0.5,0.5,15,15
456,math,2,75.72290847270648,75.72290847270648,14.75627157652474,60.54313059586291,75.72290847270648,75.72290847270648,14.75627157652474,60.54313059586291,0.8333333333333331,0.8333333333333331,0.8333333333333331,90.8674901672478,90.8674901672478,1.0,1.0,0.5,0.5,15,15
789,math,2,79.1514900164689,79.1514900164689,40.5411244666643,48.60908779896121,79.1514900164689,79.1514900164689,40.5411244666643,48.60908779896121,0.8333333333333331,0.8333333333333331,0.8333333333333331,94.98178801976269,94.98178801976269,1.0,1.0,0.5,0.5,15,15
1011,math,2,70.70042194092827,70.70042194092827,20.371308016877638,55.31325070936061,70.70042194092827,70.70042194092827,20.371308016877638,55.31325070936061,0.7866666666666665,0.7866666666666665,0.7866666666666665,89.87341772151899,89.87341772151899,1.0,1.0,0.5,0.5,15,15
2024,math,2,72.67151117362086,72.67151117362086,27.7453972716497,47.741446873801294,72.67151117362086,72.67151117362086,27.7453972716497,47.741446873801294,0.8333333333333331,0.8333333333333331,0.8333333333333331,87.20581340834505,87.20581340834505,1.0,1.0,0.5,0.5,15,15
3033,math,2,77.00421940928268,77.00421940928268,31.389985935302395,45.3174426088822,77.00421940928268,77.00421940928268,31.389985935302395,45.3174426088822,0.8333333333333331,0.8333333333333331,0.8333333333333331,92.40506329113924,92.40506329113924,1.0,1.0,0.5,0.5,15,15
4044,math,2,78.08371338345064,78.08371338345064,25.275866421436042,48.94511239506607,78.08371338345064,78.08371338345064,25.275866421436042,48.94511239506607,0.8333333333333331,0.8333333333333331,0.8333333333333331,93.7004560601408,93.7004560601408,1.0,1.0,0.5,0.5,15,15
