seed,dataset,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,math,0,54.664087698975,54.664087698975,27.558049787643856,53.021879410847426,54.664087698975,54.664087698975,27.558049787643856,53.021879410847426,0.8333333333333331,0.8333333333333331,0.8333333333333331,65.59690523877002,65.59690523877002,1.0,1.0,0.5,0.5,15,15
123,math,0,53.473638700069635,53.473638700069635,28.218880068654794,48.851713080168764,53.473638700069635,53.473638700069635,28.218880068654794,48.851713080168764,0.8799999999999997,0.8799999999999997,0.8799999999999997,60.765498522806425,60.765498522806425,1.0,1.0,0.0,0.0,15,15
456,math,0,55.5066866909819,55.5066866909819,25.441172551632253,53.47363870006965,55.5066866909819,55.5066866909819,25.441172551632253,53.47363870006965,0.8333333333333333,0.8333333333333333,0.8333333333333333,66.60802402917828,66.60802402917828,1.0,1.0,0.5,0.5,15,15
789,math,0,56.95762734972367,56.95762734972367,21.276684230714878,50.083370822858306,56.95762734972367,56.95762734972367,21.276684230714878,50.083370822858306,0.8333333333333333,0.8333333333333333,0.8333333333333333,68.34915281966842,68.34915281966842,1.0,1.0,0.75,0.75,15,15
1011,math,0,57.20538159745354,57.20538159745354,28.076333648444045,50.2236297637152,57.20538159745354,57.20538159745354,28.076333648444045,50.2236297637152,0.8333333333333331,0.8333333333333331,0.8333333333333331,68.64645791694426,68.64645791694426,1.0,1.0,0.5,0.5,15,15
2024,math,0,52.37997226265209,52.37997226265209,29.606693842523068,50.2236297637152,52.37997226265209,52.37997226265209,29.606693842523068,50.2236297637152,0.8333333333333331,0.8333333333333331,0.8333333333333331,62.85596671518252,62.85596671518252,1.0,1.0,0.5,0.5,15,15
3033,math,0,53.824315991491886,53.824315991491886,18.651150844948443,47.1217955536645,53.824315991491886,53.824315991491886,18.651150844948443,47.1217955536645,0.8333333333333331,0.8333333333333331,0.8333333333333331,64.58917918979029,64.58917918979029,1.0,1.0,0.5,0.5,15,15
4044,math,0,50.44370419720187,50.44370419720187,21.054763491006,48.60908779896122,50.44370419720187,50.44370419720187,21.054763491006,48.60908779896122,0.7666666666666665,0.7666666666666665,0.7666666666666665,65.79613590939375,65.79613590939375,1.0,1.0,0.75,0.75,15,15
