seed,dataset,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,math,2,56.9620253164557,56.9620253164557,17.776130756177956,49.52000298719242,56.9620253164557,56.9620253164557,17.776130756177956,49.52000298719242,1.0,1.0,1.0,56.9620253164557,56.9620253164557,1.0,1.0,0.25,0.25,5,5
123,math,2,62.16531640716936,62.16531640716936,31.45931283905967,52.09512003491925,62.16531640716936,62.16531640716936,31.45931283905967,52.09512003491925,1.0,1.0,1.0,62.16531640716936,62.16531640716936,1.0,1.0,0.25,0.25,5,5
456,math,2,62.672566413628516,62.672566413628516,12.911737629459147,46.09030215268085,62.672566413628516,62.672566413628516,12.911737629459147,46.09030215268085,1.0,1.0,1.0,62.672566413628516,62.672566413628516,1.0,1.0,0.0,0.0,5,5
789,math,2,57.896988214753385,57.896988214753385,0.0,48.544622912456134,57.896988214753385,57.896988214753385,0.0,48.544622912456134,1.0,1.0,1.0,57.896988214753385,57.896988214753385,1.0,1.0,0.25,0.25,5,5
1011,math,2,63.75769492888824,63.75769492888824,0.0,49.97311860975583,63.75769492888824,63.75769492888824,0.0,49.97311860975583,1.0,1.0,1.0,63.75769492888824,63.75769492888824,1.0,1.0,0.25,0.25,5,5
2024,math,2,62.672566413628516,62.672566413628516,0.0,62.64344366210919,62.672566413628516,62.672566413628516,0.0,62.64344366210919,1.0,1.0,1.0,62.672566413628516,62.672566413628516,1.0,1.0,0.25,0.25,5,5
3033,math,2,56.75809803679359,56.75809803679359,13.109377573340938,54.128156586478106,56.75809803679359,56.75809803679359,13.109377573340938,54.128156586478106,1.0,1.0,1.0,56.75809803679359,56.75809803679359,1.0,1.0,0.0,0.0,5,5
4044,math,2,59.854304158101634,59.854304158101634,12.936708860759493,43.19224905151934,59.854304158101634,59.854304158101634,12.936708860759493,43.19224905151934,1.0,1.0,1.0,59.854304158101634,59.854304158101634,1.0,1.0,0.0,0.0,5,5
