seed,dataset,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,math,0,65.6174252625909,65.6174252625909,29.071625127761614,55.48443611849526,65.6174252625909,65.6174252625909,29.071625127761614,55.48443611849526,1.0,1.0,1.0,65.6174252625909,65.6174252625909,1.0,1.0,0.0,0.0,5,5
123,math,0,58.42300999692927,58.42300999692927,35.025498946530185,52.67178765912944,58.42300999692927,58.42300999692927,35.025498946530185,52.67178765912944,1.0,1.0,1.0,58.42300999692927,58.42300999692927,1.0,1.0,0.25,0.25,5,5
456,math,0,62.672566413628516,62.672566413628516,17.969357712142518,48.81261322700144,62.672566413628516,62.672566413628516,17.969357712142518,48.81261322700144,1.0,1.0,1.0,62.672566413628516,62.672566413628516,1.0,1.0,0.0,0.0,5,5
789,math,0,59.025995870739635,59.025995870739635,8.991240058250249,55.515086732301924,59.025995870739635,59.025995870739635,8.991240058250249,55.515086732301924,1.0,1.0,1.0,59.025995870739635,59.025995870739635,1.0,1.0,0.25,0.25,5,5
1011,math,0,63.462645148816634,63.462645148816634,23.44608984549354,56.47512423816221,63.462645148816634,63.462645148816634,23.44608984549354,56.47512423816221,1.0,1.0,1.0,63.462645148816634,63.462645148816634,1.0,1.0,0.25,0.25,5,5
2024,math,0,64.55696202531645,64.55696202531645,8.620220803305827,58.82377404962349,64.55696202531645,64.55696202531645,8.620220803305827,58.82377404962349,1.0,1.0,1.0,64.55696202531645,64.55696202531645,1.0,1.0,0.25,0.25,5,5
3033,math,0,56.75809803679359,56.75809803679359,8.413756490867163,56.580639778539854,56.75809803679359,56.75809803679359,8.413756490867163,56.580639778539854,1.0,1.0,1.0,56.75809803679359,56.75809803679359,1.0,1.0,0.0,0.0,5,5
4044,math,0,59.854304158101634,59.854304158101634,7.974683544303797,48.78481012658228,59.854304158101634,59.854304158101634,7.974683544303797,48.78481012658228,1.0,1.0,1.0,59.854304158101634,59.854304158101634,1.0,1.0,0.0,0.0,5,5
