alpha,nested_best,accuracy,f1_paper,f1_deploy,AR,AR_available,TVS,IUS_paper,IUS_deploy,IUS_geo,n_features,stability,prec@20%,recall@20%,cv_mean,cv_std,selected
0.0,False,82.31,79.37,79.37,0.88,0.88,1.0,69.849,69.849,88.726,15,1.0,0.269,0.35,80.9,4.14,studytime|schoolsup|famsup|paid|activities|nursery|higher|internet|romantic|famrel|freetime|goout|Dalc|Walc|health
0.25,False,83.08,79.89,79.89,0.88,0.88,1.0,70.302,70.302,88.918,15,0.936,0.154,0.2,81.08,4.78,higher|studytime|internet|schoolsup|romantic|activities|paid|famsup|nursery|Dalc|Walc|absences|freetime|goout|famrel
0.5,True,91.54,90.14,90.14,0.833,0.833,1.0,75.113,75.113,90.901,15,0.85,0.615,0.8,91.37,3.23,higher|studytime|internet|schoolsup|romantic|activities|paid|famsup|nursery|Dalc|Walc|absences|freetime|goout|G2
0.75,False,88.46,88.34,88.34,0.693,0.693,1.0,61.249,61.249,84.924,15,0.787,0.615,0.8,92.98,3.06,G2|G1|higher|failures|studytime|school|internet|schoolsup|romantic|activities|paid|famsup|Dalc|nursery|Walc
1.0,False,87.69,87.42,87.42,0.227,0.227,1.0,19.816,19.816,58.301,15,0.504,0.538,0.7,92.42,3.84,G2|G1|failures|school|higher|studytime|Dalc|Medu|Mjob_teacher|reason_reputation|Fedu|Mjob_at_home|age|Walc|reason_other
