seed,dataset,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,portuguese,0,68.25689034369881,68.25689034369881,25.120249869859457,69.84868005557662,68.25689034369881,68.25689034369881,25.120249869859457,69.84868005557662,0.8799999999999997,0.8799999999999997,0.8799999999999997,77.5646481178396,77.5646481178396,1.0,1.0,0.25,0.25,15,15
123,portuguese,0,65.85579662502738,65.85579662502738,29.48289986916596,68.64841373315952,65.85579662502738,65.85579662502738,29.48289986916596,68.64841373315952,0.8333333333333331,0.8333333333333331,0.8333333333333331,79.02695595003287,79.02695595003287,1.0,1.0,0.5,0.5,15,15
456,portuguese,0,66.12820001941338,66.12820001941338,28.798731602737327,69.43503555268259,66.12820001941338,66.12820001941338,28.798731602737327,69.43503555268259,0.8333333333333331,0.8333333333333331,0.8333333333333331,79.35384002329609,79.35384002329609,1.0,1.0,0.5,0.5,15,15
789,portuguese,0,69.5437212360289,69.5437212360289,39.00478053020427,71.22156476002628,69.5437212360289,69.5437212360289,39.00478053020427,71.22156476002628,0.8799999999999997,0.8799999999999997,0.8799999999999997,79.02695595003287,79.02695595003287,1.0,1.0,0.0,0.0,15,15
1011,portuguese,0,71.22156476002627,71.22156476002627,25.627878249374238,69.97368248772503,71.22156476002627,71.22156476002627,25.627878249374238,69.97368248772503,0.8799999999999997,0.8799999999999997,0.8799999999999997,80.9335963182117,80.9335963182117,1.0,1.0,0.0,0.0,15,15
2024,portuguese,0,69.97368248772501,69.97368248772501,23.164146394915626,68.64841373315949,69.97368248772501,69.97368248772501,23.164146394915626,68.64841373315949,0.8799999999999997,0.8799999999999997,0.8799999999999997,79.51554828150573,79.51554828150573,1.0,1.0,0.0,0.0,15,15
3033,portuguese,0,68.25641025641022,68.25641025641022,27.121384362763678,67.91889282265853,68.25641025641022,68.25641025641022,27.121384362763678,67.91889282265853,0.8799999999999997,0.8799999999999997,0.8799999999999997,77.56410256410255,77.56410256410255,1.0,1.0,0.0,0.0,15,15
4044,portuguese,0,72.89940828402365,72.89940828402365,22.185676392572947,71.69047463175121,72.89940828402365,72.89940828402365,22.185676392572947,71.69047463175121,0.8799999999999997,0.8799999999999997,0.8799999999999997,82.84023668639054,82.84023668639054,1.0,1.0,0.25,0.25,15,15
