seed,dataset,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,portuguese,2,76.17262243271212,76.17262243271212,24.028887186781922,68.06641816333445,76.17262243271212,76.17262243271212,24.028887186781922,68.06641816333445,0.97,0.97,0.97,78.52847673475476,78.52847673475476,1.0,1.0,0.25,0.25,10,10
123,portuguese,2,74.1271473903053,74.1271473903053,24.81574239713775,67.86587771203156,74.1271473903053,74.1271473903053,24.81574239713775,67.86587771203156,0.97,0.97,0.97,76.41973957763433,76.41973957763433,1.0,1.0,0.25,0.25,10,10
456,portuguese,2,76.69543650793649,76.69543650793649,24.69126348764358,70.94938684503902,76.69543650793649,76.69543650793649,24.69126348764358,70.94938684503902,0.97,0.97,0.97,79.06746031746032,79.06746031746032,1.0,1.0,0.25,0.25,10,10
789,portuguese,2,74.61538461538461,74.61538461538461,27.37570271202558,67.84927536231885,74.61538461538461,74.61538461538461,27.37570271202558,67.84927536231885,0.97,0.97,0.97,76.92307692307693,76.92307692307693,1.0,1.0,0.0,0.0,10,10
1011,portuguese,2,71.61509608171275,71.61509608171275,31.327570485465223,68.00738809213385,71.61509608171275,71.61509608171275,31.327570485465223,68.00738809213385,0.97,0.97,0.97,73.8299959605286,73.8299959605286,1.0,1.0,0.25,0.25,10,10
2024,portuguese,2,78.20557413600892,78.20557413600892,25.726665937192255,69.39933110367892,78.20557413600892,78.20557413600892,25.726665937192255,69.39933110367892,0.97,0.97,0.97,80.62430323299888,80.62430323299888,1.0,1.0,0.25,0.25,10,10
3033,portuguese,2,76.69543650793649,76.69543650793649,24.96300030244985,70.94938684503903,76.69543650793649,76.69543650793649,24.96300030244985,70.94938684503903,0.97,0.97,0.97,79.06746031746032,79.06746031746032,1.0,1.0,0.25,0.25,10,10
4044,portuguese,2,78.28290358686833,78.28290358686833,18.25046847468372,68.79355687047995,78.28290358686833,78.28290358686833,18.25046847468372,68.79355687047995,0.97,0.97,0.97,80.70402431635911,80.70402431635911,1.0,1.0,0.25,0.25,10,10
