alpha,nested_best,accuracy,f1_paper,f1_deploy,AR,AR_available,TVS,IUS_paper,IUS_deploy,IUS_geo,n_features,stability,prec@20%,recall@20%,cv_mean,cv_std,selected
0.0,False,76.92,77.37,77.37,0.97,0.97,1.0,75.046,75.046,90.874,10,1.0,0.231,0.3,78.5,3.03,studytime|schoolsup|famsup|paid|activities|nursery|higher|internet|romantic|famrel
0.25,True,79.23,78.53,78.53,0.97,0.97,1.0,76.173,76.173,91.327,10,0.882,0.269,0.35,77.86,3.37,higher|studytime|internet|schoolsup|romantic|activities|paid|famsup|nursery|Dalc
0.5,False,79.23,78.53,78.53,0.97,0.97,1.0,76.173,76.173,91.327,10,0.855,0.269,0.35,77.86,3.37,higher|studytime|internet|schoolsup|romantic|activities|paid|famsup|nursery|Dalc
0.75,False,88.46,88.58,88.58,0.6,0.6,1.0,53.146,53.146,81.001,10,0.661,0.577,0.75,92.64,2.81,G2|G1|higher|failures|studytime|school|internet|schoolsup|romantic|activities
1.0,False,89.23,89.0,89.0,0.27,0.27,1.0,24.029,24.029,62.17,10,0.514,0.615,0.8,93.37,3.56,G2|G1|failures|school|higher|studytime|Dalc|Medu|Mjob_teacher|reason_reputation
