seed,dataset,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,portuguese,0,76.64114166376609,76.64114166376609,26.335305719921102,68.06641816333448,76.64114166376609,76.64114166376609,26.335305719921102,68.06641816333448,0.97,0.97,0.97,79.01148625130526,79.01148625130526,1.0,1.0,0.25,0.25,10,10
123,portuguese,0,74.62985372402412,74.62985372402412,33.500871689212495,67.47495200714086,74.62985372402412,74.62985372402412,33.500871689212495,67.47495200714086,0.97,0.97,0.97,76.93799352992178,76.93799352992178,1.0,1.0,0.25,0.25,10,10
456,portuguese,0,77.16801619433198,77.16801619433198,18.465118447181226,71.91057218643425,77.16801619433198,77.16801619433198,18.465118447181226,71.91057218643425,0.97,0.97,0.97,79.55465587044534,79.55465587044534,1.0,1.0,0.0,0.0,10,10
789,portuguese,0,74.61538461538461,74.61538461538461,34.92434002778831,68.62065934065933,74.61538461538461,74.61538461538461,34.92434002778831,68.62065934065933,0.97,0.97,0.97,76.92307692307693,76.92307692307693,1.0,1.0,0.0,0.0,10,10
1011,portuguese,0,70.65480391168465,70.65480391168465,27.048582995951413,70.94938684503902,70.65480391168465,70.65480391168465,27.048582995951413,70.94938684503902,0.97,0.97,0.97,72.84000403266458,72.84000403266458,1.0,1.0,0.25,0.25,10,10
2024,portuguese,0,76.69543650793649,76.69543650793649,22.719732441471574,68.95289694106428,76.69543650793649,76.69543650793649,22.719732441471574,68.95289694106428,0.97,0.97,0.97,79.06746031746032,79.06746031746032,1.0,1.0,0.25,0.25,10,10
3033,portuguese,0,77.7153911414001,77.7153911414001,25.71828609986504,68.06641816333448,77.7153911414001,77.7153911414001,25.71828609986504,68.06641816333448,0.97,0.97,0.97,80.11895993958774,80.11895993958774,1.0,1.0,0.25,0.25,10,10
4044,portuguese,0,70.19258124521282,70.19258124521282,27.252552756977533,70.02787068004459,70.19258124521282,70.19258124521282,27.252552756977533,70.02787068004459,0.9,0.9,0.9,77.99175693912535,77.99175693912535,1.0,1.0,0.5,0.5,10,10
