seed,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,1,55.944402153173655,55.944402153173655,32.53009124864372,51.20068416966729,55.944402153173655,55.944402153173655,32.53009124864372,51.20068416966729,0.76,0.76,0.76,73.61105546470218,73.61105546470218,1.0,1.0,0.25,0.25,5,5
123,1,56.007479583540146,56.007479583540146,32.42071764228323,50.68096383602949,56.007479583540146,56.007479583540146,32.42071764228323,50.68096383602949,0.76,0.76,0.76,73.69405208360544,73.69405208360544,1.0,1.0,0.25,0.25,5,5
456,1,55.804860445560934,55.613066750360986,32.291835904889524,50.51424087682817,55.804860445560934,55.613066750360986,32.291835904889524,50.51424087682817,0.76,0.76,0.76,73.42744795468543,73.17508782942235,1.0,1.0,0.25,0.5,5,5
789,1,56.07209364972565,56.07209364972565,32.536334887999345,50.41976727077613,56.07209364972565,56.07209364972565,32.536334887999345,50.41976727077613,0.76,0.76,0.76,73.77907059174427,73.77907059174427,1.0,1.0,0.25,0.25,5,5
1011,1,55.384490532381434,55.384490532381434,32.21349290840138,50.49249076509995,55.384490532381434,55.384490532381434,32.21349290840138,50.49249076509995,0.76,0.76,0.76,72.87432964787031,72.87432964787031,1.0,1.0,0.25,0.25,5,5
2024,1,56.037303576653265,56.037303576653265,32.6184453923722,50.738383519847844,56.037303576653265,56.037303576653265,32.6184453923722,50.738383519847844,0.76,0.76,0.76,73.73329417980692,73.73329417980692,1.0,1.0,0.25,0.25,5,5
3033,1,55.668886015453026,55.668886015453026,32.182574705500585,50.716130863157446,55.668886015453026,55.668886015453026,32.182574705500585,50.716130863157446,0.76,0.76,0.76,73.24853423085924,73.24853423085924,1.0,1.0,0.25,0.25,5,5
4044,1,55.238948278759615,55.238948278759615,32.34296078697431,50.55997379607404,55.238948278759615,55.238948278759615,32.34296078697431,50.55997379607404,0.76,0.76,0.76,72.68282668257844,72.68282668257844,1.0,1.0,0.25,0.25,5,5
