seed,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,0,11.09656269852803,27.658876154434118,11.09656269852803,51.69142941757774,11.09656269852803,7.278651619587927,11.09656269852803,51.69142941757774,0.2,0.2,0.2,55.48281349264015,36.39325809793963,1.0,0.2,1.0,0.0,5,5
123,0,11.327334615128418,27.775283587082377,11.30827453558632,51.86086717320133,11.327334615128418,7.309285154495362,11.30827453558632,51.86086717320133,0.2,0.2,0.2,56.636673075642086,36.54642577247681,1.0,0.2,0.25,0.0,5,5
456,0,11.383513635298979,28.479134082532028,11.396360971573626,51.33318262271578,11.383513635298979,7.494508969087375,11.396360971573626,51.33318262271578,0.2,0.2,0.2,56.917568176494896,37.47254484543688,1.0,0.2,0.25,0.5,5,5
789,0,11.198582272387247,27.015671854064298,11.188546962474838,50.23393271152923,11.198582272387247,7.109387330016921,11.188546962474838,50.23393271152923,0.2,0.2,0.2,55.99291136193624,35.546936650084604,1.0,0.2,0.25,0.0,5,5
1011,0,11.050774658689983,35.21762292131146,0.0,50.932661412568144,11.050774658689983,9.267795505608278,0.0,50.932661412568144,0.2,0.2,0.2,55.25387329344992,46.33897752804139,1.0,0.2,0.25,0.5,5,5
2024,0,11.219464517293316,36.89702932818277,11.218833754330234,51.08822620767401,11.219464517293316,9.709744560048097,11.218833754330234,51.08822620767401,0.2,0.2,0.2,56.09732258646658,48.54872280024048,1.0,0.2,0.25,0.0,5,5
3033,0,11.051948900163083,37.19603745155789,11.051948900163083,51.46423552287306,11.051948900163083,9.788430908304708,11.051948900163083,51.46423552287306,0.2,0.2,0.2,55.25974450081541,48.942154541523536,1.0,0.2,1.0,0.0,5,5
4044,0,11.190896824729233,36.62341719894796,11.19704628593361,51.39088089861104,11.190896824729233,9.637741368144201,11.19704628593361,51.39088089861104,0.2,0.2,0.2,55.95448412364617,48.188706840721004,1.0,0.2,0.75,0.25,5,5
