seed,horizon,alpha_full,alpha_notemp,f1_full_paper,f1_notemp_paper,f1_full_deploy,f1_notemp_deploy,precision20_full_deploy,recall20_full_deploy,precision20_notemp_deploy,recall20_notemp_deploy,AR_full,AR_notemp,AR_available_full,AR_available_notemp,IUS_paper_full,IUS_paper_notemp,IUS_deploy_old_full,IUS_deploy_old_notemp,IUS_deploy_full,IUS_deploy_notemp,tau_full,tau_notemp,full_has_T3,notemp_has_T3,n_full,n_notemp,selected_full,selected_notemp
42,1,0.25,0.25,73.61105546470218,73.61105546470218,73.61105546470218,73.61105546470218,98.08135072908672,37.12957582800697,98.08135072908672,37.12957582800697,0.76,0.76,0.76,0.76,55.944402153173655,55.944402153173655,55.944402153173655,55.944402153173655,55.944402153173655,55.944402153173655,0.0,0.0,False,False,5,5,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d
123,1,0.25,0.25,73.69405208360544,73.69405208360544,73.69405208360544,73.69405208360544,97.85111281657713,37.04241719930273,97.85111281657713,37.04241719930273,0.76,0.76,0.76,0.76,56.007479583540146,56.007479583540146,56.007479583540146,56.007479583540146,56.007479583540146,56.007479583540146,0.0,0.0,False,False,5,5,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d
456,1,0.25,0.5,73.42744795468543,73.17508782942235,73.42744795468543,73.17508782942235,98.31158864159632,37.216734456711215,98.38833461243284,37.24578733294596,0.76,0.76,0.76,0.76,55.804860445560934,55.613066750360986,55.804860445560934,55.613066750360986,55.804860445560934,55.613066750360986,0.0,0.0,False,False,5,5,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d,assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|date_registration
789,1,0.25,0.25,73.77907059174427,73.77907059174427,73.77907059174427,73.77907059174427,97.62087490406753,36.95525857059849,97.62087490406753,36.95525857059849,0.76,0.76,0.76,0.76,56.07209364972565,56.07209364972565,56.07209364972565,56.07209364972565,56.07209364972565,56.07209364972565,0.0,0.0,False,False,5,5,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d
1011,1,0.25,0.25,72.87432964787031,72.87432964787031,72.87432964787031,72.87432964787031,97.92785878741365,37.071470075537476,97.92785878741365,37.071470075537476,0.76,0.76,0.76,0.76,55.384490532381434,55.384490532381434,55.384490532381434,55.384490532381434,55.384490532381434,55.384490532381434,0.0,0.0,False,False,5,5,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d
2024,1,0.25,0.25,73.73329417980692,73.73329417980692,73.73329417980692,73.73329417980692,97.16039907904836,36.780941313190006,97.16039907904836,36.780941313190006,0.76,0.76,0.76,0.76,56.037303576653265,56.037303576653265,56.037303576653265,56.037303576653265,56.037303576653265,56.037303576653265,0.0,0.0,False,False,5,5,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d
3033,1,0.25,0.25,73.24853423085924,73.24853423085924,73.24853423085924,73.24853423085924,97.31389102072141,36.8390470656595,97.31389102072141,36.8390470656595,0.76,0.76,0.76,0.76,55.668886015453026,55.668886015453026,55.668886015453026,55.668886015453026,55.668886015453026,55.668886015453026,0.0,0.0,False,False,5,5,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d
4044,1,0.25,0.25,72.68282668257844,72.68282668257844,72.68282668257844,72.68282668257844,96.85341519570223,36.66472980825102,96.85341519570223,36.66472980825102,0.76,0.76,0.76,0.76,55.238948278759615,55.238948278759615,55.238948278759615,55.238948278759615,55.238948278759615,55.238948278759615,0.0,0.0,False,False,5,5,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d
