seed,dataset,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,portuguese,0,74.41758241758242,74.41758241758242,14.368813279884062,63.07692307692307,74.41758241758242,74.41758241758242,14.368813279884062,63.07692307692307,1.0,1.0,1.0,74.41758241758242,74.41758241758242,1.0,1.0,0.25,0.25,5,5
123,portuguese,0,74.1353077694341,74.1353077694341,31.706086736553907,76.10225569062855,74.1353077694341,74.1353077694341,31.706086736553907,76.10225569062855,1.0,1.0,1.0,74.1353077694341,74.1353077694341,1.0,1.0,0.25,0.25,5,5
456,portuguese,0,67.9864253393665,67.9864253393665,16.38259618842143,61.30230553759966,67.9864253393665,67.9864253393665,16.38259618842143,61.30230553759966,1.0,1.0,1.0,67.9864253393665,67.9864253393665,1.0,1.0,0.25,0.25,5,5
789,portuguese,0,64.45759368836292,64.45759368836292,15.68214804063861,64.05406479825085,64.45759368836292,64.45759368836292,15.68214804063861,64.05406479825085,1.0,1.0,1.0,64.45759368836292,64.45759368836292,1.0,1.0,0.25,0.25,5,5
1011,portuguese,0,68.33516173617696,68.33516173617696,29.328808446455508,63.22277843148989,68.33516173617696,68.33516173617696,29.328808446455508,63.22277843148989,1.0,1.0,1.0,68.33516173617696,68.33516173617696,1.0,1.0,0.0,0.0,5,5
2024,portuguese,0,67.95877198103355,67.95877198103355,16.02051282051282,71.29624542124543,67.95877198103355,67.95877198103355,16.02051282051282,71.29624542124543,1.0,1.0,1.0,67.95877198103355,67.95877198103355,1.0,1.0,0.25,0.25,5,5
3033,portuguese,0,77.14874411302984,77.14874411302984,15.797392099459827,70.89824805661911,77.14874411302984,77.14874411302984,15.797392099459827,70.89824805661911,1.0,1.0,1.0,77.14874411302984,77.14874411302984,1.0,1.0,0.25,0.25,5,5
4044,portuguese,0,74.09288824383165,74.09288824383165,16.08722712708329,67.73488147073054,74.09288824383165,74.09288824383165,16.08722712708329,67.73488147073054,1.0,1.0,1.0,74.09288824383165,74.09288824383165,1.0,1.0,0.25,0.25,5,5
