alpha,nested_best,accuracy,f1_paper,f1_deploy,AR,AR_available,TVS,IUS_paper,IUS_deploy,IUS_geo,n_features,stability,prec@20%,recall@20%,cv_mean,cv_std,selected
0.0,False,60.77,65.8,65.8,1.0,1.0,1.0,65.799,65.799,86.977,5,1.0,0.154,0.2,71.56,3.96,studytime|schoolsup|famsup|paid|activities
0.25,True,72.31,74.42,74.42,1.0,1.0,1.0,74.418,74.418,90.62,5,0.634,0.269,0.35,75.34,5.06,higher|studytime|romantic|internet|schoolsup
0.5,False,72.31,74.42,74.42,1.0,1.0,1.0,74.418,74.418,90.62,5,0.561,0.269,0.35,75.34,5.06,higher|studytime|romantic|internet|schoolsup
0.75,False,83.85,84.99,84.99,0.4,0.4,1.0,33.994,33.994,69.791,5,0.652,0.538,0.7,89.29,2.39,G1|higher|failures|studytime|school
1.0,False,81.54,81.89,81.89,0.2,0.2,1.0,16.379,16.379,54.713,5,0.7,0.385,0.5,90.29,2.07,G1|failures|school|higher|Medu
