alpha,nested_best,accuracy,f1_paper,f1_deploy,AR,AR_available,TVS,IUS_paper,IUS_deploy,IUS_geo,n_features,stability,prec@20%,recall@20%,cv_mean,cv_std,selected
0.0,False,71.45,71.48,71.48,0.743,0.743,1.0,53.096,53.096,80.975,7,1.0,0.93,0.352,70.77,1.15,date_registration|sum_click_to_date|days_active_to_date|n_distinct_activities|forum_clicks|resource_clicks|oucontent_clicks
0.25,True,75.33,75.31,75.31,0.743,0.743,1.0,55.944,55.944,82.398,7,0.868,0.983,0.372,74.91,1.18,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks
0.5,False,76.15,76.13,76.13,0.7,0.7,1.0,53.292,53.292,81.075,7,0.975,0.981,0.371,75.15,0.9,assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks|n_distinct_activities
0.75,False,79.74,79.75,79.75,0.5,0.5,1.0,39.875,39.875,73.604,7,1.0,0.984,0.372,78.83,1.16,assessment_on_time_rate|score_TMA1|days_active_to_date|weighted_assessment_score_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date
1.0,False,79.72,79.74,79.74,0.5,0.5,1.0,39.868,39.868,73.599,7,1.0,0.982,0.372,78.99,1.22,score_TMA1|weighted_assessment_score_to_date|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date
