seed,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,0,7.92540945151638,38.32247756797578,7.936503145911815,51.69142941757774,7.92540945151638,7.3697072246107265,7.936503145911815,51.69142941757774,0.14285714285714285,0.14285714285714285,0.14285714285714285,55.47786616061467,51.58795057227509,1.0,0.14285714285714285,0.25,0.0,7,7
123,0,8.115883748074939,32.30506840715406,8.104499366107081,51.86086717320133,8.115883748074939,6.212513155221934,8.104499366107081,51.86086717320133,0.14285714285714285,0.14285714285714285,0.14285714285714285,56.81118623652457,43.48759208655354,1.0,0.14285714285714285,0.75,0.0,7,7
456,0,8.07286370107992,37.16894647727382,8.07286370107992,51.33318262271578,8.07286370107992,7.147874322552656,8.07286370107992,51.33318262271578,0.14285714285714285,0.14285714285714285,0.14285714285714285,56.510045907559444,50.035120257868606,1.0,0.14285714285714285,1.0,0.25,7,7
789,0,8.015800279371016,36.29098629010196,8.013664258352504,50.23393271152923,8.015800279371016,6.979035825019608,8.013664258352504,50.23393271152923,0.14285714285714285,0.14285714285714285,0.14285714285714285,56.11060195559712,48.853250775137255,1.0,0.14285714285714285,0.25,0.25,7,7
1011,0,7.898996299624852,37.42921102527778,7.884101326336691,50.932661412568144,7.898996299624852,7.197925197168803,7.884101326336691,50.932661412568144,0.14285714285714285,0.14285714285714285,0.14285714285714285,55.29297409737397,50.38547638018163,1.0,0.14285714285714285,0.25,0.5,7,7
2024,0,7.969609122763753,37.64621049532903,7.980623644960821,51.08822620767401,7.969609122763753,7.239655864486351,7.980623644960821,51.08822620767401,0.14285714285714285,0.14285714285714285,0.14285714285714285,55.78726385934627,50.677591051404455,1.0,0.14285714285714285,0.25,0.0,7,7
3033,0,7.893944450283779,38.07734191720848,7.893944450283779,51.46423552287306,7.893944450283779,7.3225657533093225,7.893944450283779,51.46423552287306,0.14285714285714285,0.14285714285714285,0.14285714285714285,55.25761115198645,51.25796027316526,1.0,0.14285714285714285,1.0,0.0,7,7
4044,0,7.936446156386627,26.11765363400766,7.94345312588598,51.39088089861104,7.936446156386627,5.022625698847626,7.94345312588598,51.39088089861104,0.14285714285714285,0.14285714285714285,0.14285714285714285,55.555123094706396,35.158379891933386,1.0,0.14285714285714285,0.25,0.5,7,7
