seed,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,2,61.55742385403019,61.37532090434556,34.53705483617419,58.19951127062109,61.55742385403019,61.37532090434556,34.53705483617419,58.19951127062109,0.7428571428571429,0.7428571428571429,0.7428571428571429,82.86576288042525,82.62062429431131,1.0,1.0,0.25,0.25,7,7
123,2,61.679662756605225,61.56665836115395,34.3828522659576,58.07005012775283,61.679662756605225,61.56665836115395,34.3828522659576,58.07005012775283,0.7428571428571429,0.7428571428571429,0.7428571428571429,83.03031524927627,82.87819394770723,1.0,1.0,0.25,0.25,7,7
456,2,61.17021315424436,61.44533894597296,34.36551396415089,57.791072250345145,61.17021315424436,61.44533894597296,34.36551396415089,57.791072250345145,0.7428571428571429,0.7428571428571429,0.7428571428571429,82.34451770763663,82.71487935034821,1.0,1.0,0.25,0.25,7,7
789,2,61.252333801331325,61.28522355157268,34.2239200999187,57.943359944373306,61.252333801331325,61.28522355157268,34.2239200999187,57.943359944373306,0.7428571428571429,0.7428571428571429,0.7428571428571429,82.4550647325614,82.49933939634784,1.0,1.0,0.25,0.25,7,7
1011,2,61.21825070410236,61.04801845236839,34.334863886326,57.95805831017285,61.21825070410236,61.04801845236839,34.334863886326,57.95805831017285,0.7428571428571429,0.7428571428571429,0.7428571428571429,82.4091836401378,82.18002483972668,1.0,1.0,0.25,0.25,7,7
2024,2,61.32211288344136,61.54956818162518,34.44981521768209,58.095735048709585,61.32211288344136,61.54956818162518,34.44981521768209,58.095735048709585,0.7428571428571429,0.7428571428571429,0.7428571428571429,82.54899811232491,82.85518793680312,1.0,1.0,0.25,0.25,7,7
3033,2,61.59275908968381,61.816437275908406,34.4145334986542,58.1346832336248,61.59275908968381,61.816437275908406,34.4145334986542,58.1346832336248,0.7428571428571429,0.7428571428571429,0.7428571428571429,82.91332954380513,83.21443479449209,1.0,1.0,0.25,0.25,7,7
4044,2,61.142242240064974,60.982373803976145,34.18074122718737,57.75380504387431,61.142242240064974,60.982373803976145,34.18074122718737,57.75380504387431,0.7428571428571429,0.7428571428571429,0.7428571428571429,82.30686455393361,82.09165704381404,1.0,1.0,0.25,0.25,7,7
