seed,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,1,55.94423735515698,56.37617623209146,39.86772483626869,53.012500881160065,55.94423735515698,56.37617623209146,39.86772483626869,53.012500881160065,0.7428571428571429,0.7428571428571429,0.7428571428571429,75.30955028578823,75.89100646627696,1.0,1.0,0.25,0.25,7,7
123,1,56.0838627579752,52.83380251878198,39.849949213647115,52.589904350524506,56.0838627579752,52.83380251878198,39.849949213647115,52.589904350524506,0.7428571428571429,0.7428571428571429,0.7000000000000001,75.49750755881277,75.47686074111711,1.0,1.0,0.25,0.5,7,7
456,1,56.001971145302385,56.226607241284675,39.758953585485166,53.03629378786188,56.001971145302385,56.226607241284675,39.758953585485166,53.03629378786188,0.7428571428571429,0.7428571428571429,0.7428571428571429,75.38726884944552,75.68966359403706,1.0,1.0,0.25,0.25,7,7
789,1,56.06097837215403,55.93353542550046,39.67485499312258,52.99391402874893,56.06097837215403,55.93353542550046,39.67485499312258,52.99391402874893,0.7428571428571429,0.7428571428571429,0.7428571428571429,75.46670165482273,75.29514384201985,1.0,1.0,0.25,0.25,7,7
1011,1,55.97245761620761,55.84809558907686,39.90591798152961,52.71694115035462,55.97245761620761,55.84809558907686,39.90591798152961,52.71694115035462,0.7428571428571429,0.7428571428571429,0.7428571428571429,75.34753909874102,75.18012867760346,1.0,1.0,0.25,0.5,7,7
2024,1,56.127853225285186,56.18985095571918,39.83516578041741,52.71397756070256,56.127853225285186,56.18985095571918,39.83516578041741,52.71397756070256,0.7428571428571429,0.7428571428571429,0.7428571428571429,75.5567254955762,75.64018397885273,1.0,1.0,0.25,0.25,7,7
3033,1,55.47203361600885,56.01018949821438,39.52995539253033,52.58859473958039,55.47203361600885,56.01018949821438,39.52995539253033,52.58859473958039,0.7428571428571429,0.7428571428571429,0.7428571428571429,74.67389140616577,75.39833201682706,1.0,1.0,0.25,0.5,7,7
4044,1,55.2142583225862,55.68357333143346,39.47173417054535,52.570604908695195,55.2142583225862,55.68357333143346,39.47173417054535,52.570604908695195,0.7428571428571429,0.7428571428571429,0.7428571428571429,74.32688620348141,74.95865640769888,1.0,1.0,0.25,0.5,7,7
