seed,horizon,alpha_full,alpha_notemp,f1_full_paper,f1_notemp_paper,f1_full_deploy,f1_notemp_deploy,precision20_full_deploy,recall20_full_deploy,precision20_notemp_deploy,recall20_notemp_deploy,AR_full,AR_notemp,AR_available_full,AR_available_notemp,IUS_paper_full,IUS_paper_notemp,IUS_deploy_old_full,IUS_deploy_old_notemp,IUS_deploy_full,IUS_deploy_notemp,tau_full,tau_notemp,full_has_T3,notemp_has_T3,n_full,n_notemp,selected_full,selected_notemp
42,1,0.25,0.25,75.30955028578823,75.89100646627696,75.30955028578823,75.89100646627696,98.31158864159632,37.216734456711215,98.31158864159632,37.216734456711215,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,55.94423735515698,56.37617623209146,55.94423735515698,56.37617623209146,55.94423735515698,56.37617623209146,0.0,0.0,False,False,7,7,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|n_distinct_activities|sum_click_to_date
123,1,0.25,0.5,75.49750755881277,75.47686074111711,75.49750755881277,75.47686074111711,97.92785878741365,37.071470075537476,98.38833461243284,37.24578733294596,0.7428571428571429,0.7000000000000001,0.7428571428571429,0.7000000000000001,56.0838627579752,52.83380251878198,56.0838627579752,52.83380251878198,56.0838627579752,52.83380251878198,0.0,0.0,False,False,7,7,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|homepage_clicks|sum_click_to_date,assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|n_distinct_activities|homepage_clicks|sum_click_to_date
456,1,0.25,0.25,75.38726884944552,75.68966359403706,75.38726884944552,75.68966359403706,98.69531849577898,37.361998837884954,98.7720644666155,37.3910517141197,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,56.001971145302385,56.226607241284675,56.001971145302385,56.226607241284675,56.001971145302385,56.226607241284675,0.0,0.0,False,False,7,7,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|n_distinct_activities
789,1,0.25,0.25,75.46670165482273,75.29514384201985,75.46670165482273,75.29514384201985,97.544128933231,36.92620569436374,97.85111281657713,37.04241719930273,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,56.06097837215403,55.93353542550046,56.06097837215403,55.93353542550046,56.06097837215403,55.93353542550046,0.0,0.0,False,False,7,7,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|n_distinct_activities
1011,1,0.25,0.5,75.34753909874102,75.18012867760346,75.34753909874102,75.18012867760346,98.15809669992326,37.15862870424172,98.23484267075978,37.187681580476465,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,55.97245761620761,55.84809558907686,55.97245761620761,55.84809558907686,55.97245761620761,55.84809558907686,0.0,0.0,False,False,7,7,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks,assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|date_registration|sum_click_to_date|n_distinct_activities
2024,1,0.25,0.25,75.5567254955762,75.64018397885273,75.5567254955762,75.64018397885273,98.61857252494244,37.3329459616502,98.46508058326938,37.27484020918071,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,56.127853225285186,56.18985095571918,56.127853225285186,56.18985095571918,56.127853225285186,56.18985095571918,0.0,0.0,False,False,7,7,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|n_distinct_activities
3033,1,0.25,0.5,74.67389140616577,75.39833201682706,74.67389140616577,75.39833201682706,97.7743668457406,37.01336432306798,97.7743668457406,37.01336432306798,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,55.47203361600885,56.01018949821438,55.47203361600885,56.01018949821438,55.47203361600885,56.01018949821438,0.0,0.0,False,False,7,7,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks,assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|date_registration|n_distinct_activities
4044,1,0.25,0.5,74.32688620348141,74.95865640769888,74.32688620348141,74.95865640769888,97.92785878741365,37.071470075537476,97.7743668457406,37.01336432306798,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,55.2142583225862,55.68357333143346,55.2142583225862,55.68357333143346,55.2142583225862,55.68357333143346,0.0,0.0,False,False,7,7,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks,assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|date_registration|sum_click_to_date|n_distinct_activities
