seed,dataset,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,portuguese,2,74.41758241758242,74.41758241758242,17.49950308089843,61.33009583009583,74.41758241758242,74.41758241758242,17.49950308089843,61.33009583009583,1.0,1.0,1.0,74.41758241758242,74.41758241758242,1.0,1.0,0.25,0.25,5,5
123,portuguese,2,72.98042459332783,72.98042459332783,18.220668220668223,62.239702981784426,72.98042459332783,72.98042459332783,18.220668220668223,62.239702981784426,1.0,1.0,1.0,72.98042459332783,72.98042459332783,1.0,1.0,0.25,0.25,5,5
456,portuguese,2,67.9864253393665,67.9864253393665,17.887555869207247,68.73203513268528,67.9864253393665,67.9864253393665,17.887555869207247,68.73203513268528,1.0,1.0,1.0,67.9864253393665,67.9864253393665,1.0,1.0,0.25,0.25,5,5
789,portuguese,2,68.92748828232699,68.92748828232699,17.846153846153847,64.05406479825085,68.92748828232699,68.92748828232699,17.846153846153847,64.05406479825085,1.0,1.0,1.0,68.92748828232699,68.92748828232699,1.0,1.0,0.25,0.25,5,5
1011,portuguese,2,68.33516173617696,68.33516173617696,18.405907348070972,61.33009583009583,68.33516173617696,68.33516173617696,18.405907348070972,61.33009583009583,1.0,1.0,1.0,68.33516173617696,68.33516173617696,1.0,1.0,0.0,0.0,5,5
2024,portuguese,2,75.73047107930829,75.73047107930829,18.832244553496082,74.28454658410605,75.73047107930829,75.73047107930829,18.832244553496082,74.28454658410605,1.0,1.0,1.0,75.73047107930829,75.73047107930829,1.0,1.0,0.25,0.25,5,5
3033,portuguese,2,77.14874411302984,77.14874411302984,17.793679189028026,57.12260288730876,77.14874411302984,77.14874411302984,17.793679189028026,57.12260288730876,1.0,1.0,1.0,77.14874411302984,77.14874411302984,1.0,1.0,0.25,0.25,5,5
4044,portuguese,2,73.34378507114891,73.34378507114891,18.113579166210748,66.11192865105909,73.34378507114891,73.34378507114891,18.113579166210748,66.11192865105909,1.0,1.0,1.0,73.34378507114891,73.34378507114891,1.0,1.0,0.25,0.25,5,5
