seed,horizon,alpha_full,alpha_notemp,f1_full_paper,f1_notemp_paper,f1_full_deploy,f1_notemp_deploy,precision20_full_deploy,recall20_full_deploy,precision20_notemp_deploy,recall20_notemp_deploy,AR_full,AR_notemp,AR_available_full,AR_available_notemp,IUS_paper_full,IUS_paper_notemp,IUS_deploy_old_full,IUS_deploy_old_notemp,IUS_deploy_full,IUS_deploy_notemp,tau_full,tau_notemp,full_has_T3,notemp_has_T3,n_full,n_notemp,selected_full,selected_notemp
42,2,0.5,0.5,79.4277034878634,79.4277034878634,79.4277034878634,79.4277034878634,99.84650805832693,37.79779198140616,99.84650805832693,37.79779198140616,0.7,0.7,0.7,0.7,55.59939244150438,55.59939244150438,55.59939244150438,55.59939244150438,55.59939244150438,55.59939244150438,0.0,0.0,False,False,1,1,assessment_submitted_count,assessment_submitted_count
123,2,0.5,0.5,79.80632372379927,79.80632372379927,79.80632372379927,79.80632372379927,99.7697620874904,37.76873910517141,99.7697620874904,37.76873910517141,0.7,0.7,0.7,0.7,55.86442660665948,55.86442660665948,55.86442660665948,55.86442660665948,55.86442660665948,55.86442660665948,0.0,0.0,False,False,1,1,assessment_submitted_count,assessment_submitted_count
456,2,0.5,0.5,79.06879812332703,79.06879812332703,79.06879812332703,79.06879812332703,99.7697620874904,37.76873910517141,99.7697620874904,37.76873910517141,0.7,0.7,0.7,0.7,55.348158686328915,55.348158686328915,55.348158686328915,55.348158686328915,55.348158686328915,55.348158686328915,0.0,0.0,False,False,1,1,assessment_submitted_count,assessment_submitted_count
789,2,0.5,0.5,78.91888466920537,78.91888466920537,78.91888466920537,78.91888466920537,99.46277820414429,37.652527600232425,99.46277820414429,37.652527600232425,0.7,0.7,0.7,0.7,55.24321926844375,55.24321926844375,55.24321926844375,55.24321926844375,55.24321926844375,55.24321926844375,0.0,0.0,False,False,1,1,assessment_submitted_count,assessment_submitted_count
1011,2,0.5,0.5,79.02587878348929,79.02587878348929,79.02587878348929,79.02587878348929,99.92325402916347,37.82684485764091,99.92325402916347,37.82684485764091,0.7,0.7,0.7,0.7,55.3181151484425,55.3181151484425,55.3181151484425,55.3181151484425,55.3181151484425,55.3181151484425,0.0,0.0,False,False,1,1,assessment_submitted_count,assessment_submitted_count
2024,2,0.5,0.5,79.08045835829721,79.08045835829721,79.08045835829721,79.08045835829721,99.84650805832693,37.79779198140616,99.84650805832693,37.79779198140616,0.7,0.7,0.7,0.7,55.35632085080804,55.35632085080804,55.35632085080804,55.35632085080804,55.35632085080804,55.35632085080804,0.0,0.0,False,False,1,1,assessment_submitted_count,assessment_submitted_count
3033,2,0.5,0.5,78.87301959719306,78.87301959719306,78.87301959719306,78.87301959719306,99.84650805832693,37.79779198140616,99.84650805832693,37.79779198140616,0.7,0.7,0.7,0.7,55.21111371803514,55.21111371803514,55.21111371803514,55.21111371803514,55.21111371803514,55.21111371803514,0.0,0.0,False,False,1,1,assessment_submitted_count,assessment_submitted_count
4044,2,0.5,0.5,78.7344663964992,78.7344663964992,78.7344663964992,78.7344663964992,99.69301611665388,37.73968622893666,99.69301611665388,37.73968622893666,0.7,0.7,0.7,0.7,55.11412647754944,55.11412647754944,55.11412647754944,55.11412647754944,55.11412647754944,55.11412647754944,0.0,0.0,False,False,1,1,assessment_submitted_count,assessment_submitted_count
