seed,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,1,51.69142941757774,51.69142941757774,0.0,49.57828395030476,51.69142941757774,51.69142941757774,0.0,49.57828395030476,1.0,1.0,1.0,51.69142941757774,51.69142941757774,1.0,1.0,0.0,0.0,1,1
123,1,51.86086717320133,51.86086717320133,0.0,49.08114540723271,51.86086717320133,51.86086717320133,0.0,49.08114540723271,1.0,1.0,1.0,51.86086717320133,51.86086717320133,1.0,1.0,0.0,0.0,1,1
456,1,51.33318262271578,51.33318262271578,0.0,49.324406342604355,51.33318262271578,51.33318262271578,0.0,49.324406342604355,1.0,1.0,1.0,51.33318262271578,51.33318262271578,1.0,1.0,0.0,0.0,1,1
789,1,50.23393271152923,50.23393271152923,0.0,49.24583245964535,50.23393271152923,50.23393271152923,0.0,49.24583245964535,1.0,1.0,1.0,50.23393271152923,50.23393271152923,1.0,1.0,0.0,0.0,1,1
1011,1,50.932661412568144,50.932661412568144,0.0,49.37883675184209,50.932661412568144,50.932661412568144,0.0,49.37883675184209,1.0,1.0,1.0,50.932661412568144,50.932661412568144,1.0,1.0,0.0,0.0,1,1
2024,1,51.08822620767401,51.08822620767401,0.0,48.80243063907743,51.08822620767401,51.08822620767401,0.0,48.80243063907743,1.0,1.0,1.0,51.08822620767401,51.08822620767401,1.0,1.0,0.0,0.0,1,1
3033,1,51.46423552287306,51.46423552287306,0.0,48.74632274719655,51.46423552287306,51.46423552287306,0.0,48.74632274719655,1.0,1.0,1.0,51.46423552287306,51.46423552287306,1.0,1.0,0.0,0.0,1,1
4044,1,51.39088089861104,51.39088089861104,0.0,49.13936040157662,51.39088089861104,51.39088089861104,0.0,49.13936040157662,1.0,1.0,1.0,51.39088089861104,51.39088089861104,1.0,1.0,0.0,0.0,1,1
