seed,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,2,55.59939244150438,55.59939244150438,0.0,55.59939244150438,55.59939244150438,55.59939244150438,0.0,55.59939244150438,0.7,0.7,0.7,79.4277034878634,79.4277034878634,1.0,1.0,0.5,0.5,1,1
123,2,55.86442660665948,55.86442660665948,0.0,55.86442660665948,55.86442660665948,55.86442660665948,0.0,55.86442660665948,0.7,0.7,0.7,79.80632372379927,79.80632372379927,1.0,1.0,0.5,0.5,1,1
456,2,55.348158686328915,55.348158686328915,0.0,55.348158686328915,55.348158686328915,55.348158686328915,0.0,55.348158686328915,0.7,0.7,0.7,79.06879812332703,79.06879812332703,1.0,1.0,0.5,0.5,1,1
789,2,55.24321926844375,55.24321926844375,0.0,55.24321926844375,55.24321926844375,55.24321926844375,0.0,55.24321926844375,0.7,0.7,0.7,78.91888466920537,78.91888466920537,1.0,1.0,0.5,0.5,1,1
1011,2,55.3181151484425,55.3181151484425,0.0,55.3181151484425,55.3181151484425,55.3181151484425,0.0,55.3181151484425,0.7,0.7,0.7,79.02587878348929,79.02587878348929,1.0,1.0,0.5,0.5,1,1
2024,2,55.35632085080804,55.35632085080804,0.0,55.35632085080804,55.35632085080804,55.35632085080804,0.0,55.35632085080804,0.7,0.7,0.7,79.08045835829721,79.08045835829721,1.0,1.0,0.5,0.5,1,1
3033,2,55.21111371803514,55.21111371803514,0.0,55.21111371803514,55.21111371803514,55.21111371803514,0.0,55.21111371803514,0.7,0.7,0.7,78.87301959719306,78.87301959719306,1.0,1.0,0.5,0.5,1,1
4044,2,55.11412647754944,55.11412647754944,0.0,55.11412647754944,55.11412647754944,55.11412647754944,0.0,55.11412647754944,0.7,0.7,0.7,78.7344663964992,78.7344663964992,1.0,1.0,0.5,0.5,1,1
