alpha,nested_best,accuracy,f1_paper,f1_deploy,AR,AR_available,TVS,IUS_paper,IUS_deploy,IUS_geo,n_features,stability,prec@20%,recall@20%,cv_mean,cv_std,selected
0.0,True,77.77,77.77,77.77,0.72,0.72,1.0,55.993,55.993,82.422,15,1.0,0.985,0.373,76.79,1.3,date_registration|sum_click_to_date|days_active_to_date|n_distinct_activities|forum_clicks|resource_clicks|oucontent_clicks|subpage_clicks|quiz_clicks|homepage_clicks|click_intensity_last_7d|click_trend_slope|assessment_submitted_count|assessment_on_time_rate|avg_first_submit_gap_days
0.25,False,77.91,77.91,77.91,0.72,0.72,1.0,56.094,56.094,82.472,15,1.0,0.985,0.373,77.0,1.36,date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks|n_distinct_activities|avg_first_submit_gap_days|forum_clicks|oucontent_clicks|subpage_clicks|resource_clicks|click_trend_slope|quiz_clicks
0.5,False,79.86,79.87,79.87,0.673,0.673,1.0,53.776,53.776,81.32,15,0.976,0.988,0.374,78.55,1.09,assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks|n_distinct_activities|date_registration|avg_first_submit_gap_days|forum_clicks|oucontent_clicks|subpage_clicks|resource_clicks|score_TMA1|click_trend_slope
0.75,False,81.29,81.29,81.29,0.607,0.607,1.0,49.318,49.318,79.008,15,0.951,0.989,0.374,80.05,1.18,assessment_on_time_rate|score_TMA1|days_active_to_date|weighted_assessment_score_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks|n_distinct_activities|avg_first_submit_gap_days|forum_clicks|oucontent_clicks|subpage_clicks|resource_clicks|click_trend_slope
1.0,False,81.59,81.6,81.6,0.56,0.56,1.0,45.696,45.696,77.024,15,1.0,0.99,0.375,80.1,1.19,score_TMA1|weighted_assessment_score_to_date|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks|n_distinct_activities|score_CMA1|avg_first_submit_gap_days|forum_clicks|oucontent_clicks|subpage_clicks|resource_clicks
