seed,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,1,55.993112210038,56.270903753377986,45.6956818049087,56.18842888754582,55.993112210038,56.270903753377986,45.6956818049087,56.18842888754582,0.7199999999999999,0.7199999999999999,0.7199999999999999,77.76821140283057,78.15403299080278,1.0,1.0,0.0,0.25,15,15
123,1,55.85625522221229,55.789603374581034,45.09593553988207,55.634902929621354,55.85625522221229,55.789603374581034,45.09593553988207,55.634902929621354,0.7199999999999999,0.7199999999999999,0.7199999999999999,77.57813225307264,77.48556024247367,1.0,1.0,0.25,0.25,15,15
456,1,55.90182682540075,55.9710185070843,45.276902345456485,55.97132547602608,55.90182682540075,55.9710185070843,45.276902345456485,55.97132547602608,0.7199999999999999,0.7199999999999999,0.7199999999999999,77.64142614638993,77.73752570428375,1.0,1.0,0.0,0.25,15,15
789,1,55.448300711931154,55.923245304947,45.249029216016346,55.856255222212305,55.448300711931154,55.923245304947,45.249029216016346,55.856255222212305,0.7199999999999999,0.7199999999999999,0.7199999999999999,77.01152876657106,77.67117403464863,1.0,1.0,0.25,0.0,15,15
1011,1,55.10269918129321,55.16310825356374,44.84753465167948,55.18962313500165,55.10269918129321,55.16310825356374,44.84753465167948,55.18962313500165,0.7199999999999999,0.7199999999999999,0.7199999999999999,76.53152664068503,76.61542812994966,1.0,1.0,0.25,0.5,15,15
2024,1,55.755917556919385,55.755917556919385,45.36151780071663,55.8816032251581,55.755917556919385,55.755917556919385,45.36151780071663,55.8816032251581,0.7199999999999999,0.7199999999999999,0.7199999999999999,77.43877438461027,77.43877438461027,1.0,1.0,0.0,0.0,15,15
3033,1,55.86206502342529,55.86206502342529,44.96585962920411,55.64144664637447,55.86206502342529,55.86206502342529,44.96585962920411,55.64144664637447,0.7199999999999999,0.7199999999999999,0.7199999999999999,77.58620142142402,77.58620142142402,1.0,1.0,0.0,0.0,15,15
4044,1,55.61954294748761,55.732906473201574,44.62637850125057,55.500905577115645,55.61954294748761,55.732906473201574,44.62637850125057,55.500905577115645,0.7199999999999999,0.7199999999999999,0.7199999999999999,77.24936520484393,77.40681454611331,1.0,1.0,0.25,0.25,15,15
