seed,dataset,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,portuguese,0,74.84772221614328,74.84772221614328,18.29331744239042,67.31358799930229,74.84772221614328,74.84772221614328,18.29331744239042,67.31358799930229,1.0,1.0,1.0,74.84772221614328,74.84772221614328,1.0,1.0,0.0,0.0,7,7
123,portuguese,0,73.41259802681506,73.41259802681506,38.3109856504352,65.0429362865683,73.41259802681506,73.41259802681506,38.3109856504352,65.0429362865683,1.0,1.0,1.0,73.41259802681506,73.41259802681506,1.0,1.0,0.25,0.25,7,7
456,portuguese,0,75.18519676179164,75.18519676179164,19.428571428571427,64.78842424543782,75.18519676179164,75.18519676179164,19.428571428571427,64.78842424543782,1.0,1.0,1.0,75.18519676179164,75.18519676179164,1.0,1.0,0.0,0.0,7,7
789,portuguese,0,71.33912482558914,71.33912482558914,30.082534819376928,62.59231509231511,71.33912482558914,71.33912482558914,30.082534819376928,62.59231509231511,1.0,1.0,1.0,71.33912482558914,71.33912482558914,1.0,1.0,0.25,0.25,7,7
1011,portuguese,0,68.1617418745683,68.1617418745683,31.901583480530853,70.20768070541827,68.1617418745683,68.1617418745683,31.901583480530853,70.20768070541827,1.0,1.0,1.0,68.1617418745683,68.1617418745683,1.0,1.0,0.0,0.0,7,7
2024,portuguese,0,72.22620035866598,72.22620035866598,11.366253471516629,75.30926216640502,72.22620035866598,72.22620035866598,11.366253471516629,75.30926216640502,1.0,1.0,1.0,72.22620035866598,72.22620035866598,1.0,1.0,0.25,0.25,7,7
3033,portuguese,0,68.69903751305982,68.69903751305982,19.202097505668934,67.40343357083447,68.69903751305982,68.69903751305982,19.202097505668934,67.40343357083447,1.0,1.0,1.0,68.69903751305982,68.69903751305982,1.0,1.0,0.0,0.0,7,7
4044,portuguese,0,77.45726495726495,77.45726495726495,11.348090599677633,69.37380080237223,77.45726495726495,77.45726495726495,11.348090599677633,69.37380080237223,1.0,1.0,1.0,77.45726495726495,77.45726495726495,1.0,1.0,0.25,0.25,7,7
