alpha,nested_best,accuracy,f1_paper,f1_deploy,AR,AR_available,TVS,IUS_paper,IUS_deploy,IUS_geo,n_features,stability,prec@20%,recall@20%,cv_mean,cv_std,selected
0.0,True,75.38,74.85,74.85,1.0,1.0,1.0,74.848,74.848,90.794,7,1.0,0.192,0.25,76.78,4.16,studytime|schoolsup|famsup|paid|activities|nursery|higher
0.25,False,65.38,69.82,69.82,1.0,1.0,1.0,69.822,69.822,88.715,7,0.757,0.154,0.2,77.86,2.15,higher|studytime|romantic|internet|schoolsup|paid|famsup
0.5,False,65.38,69.82,69.82,1.0,1.0,1.0,69.822,69.822,88.715,7,0.682,0.154,0.2,77.86,2.15,higher|studytime|romantic|internet|schoolsup|paid|famsup
0.75,False,86.15,86.42,86.42,0.571,0.571,1.0,49.383,49.383,79.042,7,0.582,0.462,0.6,89.54,1.78,G1|higher|failures|studytime|school|romantic|internet
1.0,False,81.54,81.54,81.54,0.243,0.243,1.0,19.802,19.802,58.287,7,0.51,0.423,0.55,90.98,1.96,G1|failures|school|higher|Medu|Fedu|Walc
