dataset,horizon,method,seed,w2,n_tier0,n_tier1,n_tier2,n_tier3,n_total,f1_deploy,AR_available,IUS_deploy
OULAD,0,StabilitySelection,0,0.6000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,0.7000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,0.8000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,0.9000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,StabilitySelection,0,1.0000,14,1,0,0,15,55.5424,0.0667,3.7028
OULAD,0,Boruta,0,0.3000,10,1,0,0,11,56.2056,0.0909,5.1096
OULAD,0,Boruta,0,0.5000,10,1,0,0,11,56.2056,0.0909,5.1096
OULAD,0,Boruta,0,0.6000,10,1,0,0,11,56.2056,0.0909,5.1096
OULAD,0,Boruta,0,0.7000,10,1,0,0,11,56.2056,0.0909,5.1096
OULAD,0,Boruta,0,0.8000,10,1,0,0,11,56.2056,0.0909,5.1096
OULAD,0,Boruta,0,0.9000,10,1,0,0,11,56.2056,0.0909,5.1096
OULAD,0,Boruta,0,1.0000,10,1,0,0,11,56.2056,0.0909,5.1096
OULAD,1,IC-FS(full),42,0.3000,0,1,6,0,7,75.3096,0.4000,30.1238
OULAD,1,IC-FS(full),42,0.5000,0,1,6,0,7,75.3096,0.5714,43.0340
OULAD,1,IC-FS(full),42,0.6000,0,1,6,0,7,75.3096,0.6571,49.4891
OULAD,1,IC-FS(full),42,0.7000,0,1,6,0,7,75.3096,0.7429,55.9442
OULAD,1,IC-FS(full),42,0.8000,0,1,6,0,7,75.3096,0.8286,62.3993
OULAD,1,IC-FS(full),42,0.9000,0,1,6,0,7,75.3096,0.9143,68.8544
OULAD,1,IC-FS(full),42,1.0000,0,1,6,0,7,75.3096,1.0000,75.3096
OULAD,1,IC-FS(full),123,0.3000,0,1,6,0,7,75.4975,0.4000,30.1990
OULAD,1,IC-FS(full),123,0.5000,0,1,6,0,7,75.4975,0.5714,43.1414
OULAD,1,IC-FS(full),123,0.6000,0,1,6,0,7,75.4975,0.6571,49.6126
OULAD,1,IC-FS(full),123,0.7000,0,1,6,0,7,75.4975,0.7429,56.0839
OULAD,1,IC-FS(full),123,0.8000,0,1,6,0,7,75.4975,0.8286,62.5551
OULAD,1,IC-FS(full),123,0.9000,0,1,6,0,7,75.4975,0.9143,69.0263
OULAD,1,IC-FS(full),123,1.0000,0,1,6,0,7,75.4975,1.0000,75.4975
OULAD,1,IC-FS(full),456,0.3000,0,1,6,0,7,75.3873,0.4000,30.1549
OULAD,1,IC-FS(full),456,0.5000,0,1,6,0,7,75.3873,0.5714,43.0784
OULAD,1,IC-FS(full),456,0.6000,0,1,6,0,7,75.3873,0.6571,49.5402
OULAD,1,IC-FS(full),456,0.7000,0,1,6,0,7,75.3873,0.7429,56.0020
OULAD,1,IC-FS(full),456,0.8000,0,1,6,0,7,75.3873,0.8286,62.4637
OULAD,1,IC-FS(full),456,0.9000,0,1,6,0,7,75.3873,0.9143,68.9255
OULAD,1,IC-FS(full),456,1.0000,0,1,6,0,7,75.3873,1.0000,75.3873
OULAD,1,IC-FS(full),789,0.3000,0,1,6,0,7,75.4667,0.4000,30.1867
OULAD,1,IC-FS(full),789,0.5000,0,1,6,0,7,75.4667,0.5714,43.1238
OULAD,1,IC-FS(full),789,0.6000,0,1,6,0,7,75.4667,0.6571,49.5924
OULAD,1,IC-FS(full),789,0.7000,0,1,6,0,7,75.4667,0.7429,56.0610
OULAD,1,IC-FS(full),789,0.8000,0,1,6,0,7,75.4667,0.8286,62.5296
OULAD,1,IC-FS(full),789,0.9000,0,1,6,0,7,75.4667,0.9143,68.9981
OULAD,1,IC-FS(full),789,1.0000,0,1,6,0,7,75.4667,1.0000,75.4667
OULAD,1,IC-FS(full),1011,0.3000,0,1,6,0,7,75.3475,0.4000,30.1390
OULAD,1,IC-FS(full),1011,0.5000,0,1,6,0,7,75.3475,0.5714,43.0557
OULAD,1,IC-FS(full),1011,0.6000,0,1,6,0,7,75.3475,0.6571,49.5141
OULAD,1,IC-FS(full),1011,0.7000,0,1,6,0,7,75.3475,0.7429,55.9725
OULAD,1,IC-FS(full),1011,0.8000,0,1,6,0,7,75.3475,0.8286,62.4308
OULAD,1,IC-FS(full),1011,0.9000,0,1,6,0,7,75.3475,0.9143,68.8892
OULAD,1,IC-FS(full),1011,1.0000,0,1,6,0,7,75.3475,1.0000,75.3475
OULAD,1,IC-FS(full),2024,0.3000,0,1,6,0,7,75.5567,0.4000,30.2227
OULAD,1,IC-FS(full),2024,0.5000,0,1,6,0,7,75.5567,0.5714,43.1753
OULAD,1,IC-FS(full),2024,0.6000,0,1,6,0,7,75.5567,0.6571,49.6516
OULAD,1,IC-FS(full),2024,0.7000,0,1,6,0,7,75.5567,0.7429,56.1279
OULAD,1,IC-FS(full),2024,0.8000,0,1,6,0,7,75.5567,0.8286,62.6041
OULAD,1,IC-FS(full),2024,0.9000,0,1,6,0,7,75.5567,0.9143,69.0804
OULAD,1,IC-FS(full),2024,1.0000,0,1,6,0,7,75.5567,1.0000,75.5567
OULAD,1,IC-FS(full),3033,0.3000,0,1,6,0,7,74.6739,0.4000,29.8696
OULAD,1,IC-FS(full),3033,0.5000,0,1,6,0,7,74.6739,0.5714,42.6708
OULAD,1,IC-FS(full),3033,0.6000,0,1,6,0,7,74.6739,0.6571,49.0714
OULAD,1,IC-FS(full),3033,0.7000,0,1,6,0,7,74.6739,0.7429,55.4720
OULAD,1,IC-FS(full),3033,0.8000,0,1,6,0,7,74.6739,0.8286,61.8727
OULAD,1,IC-FS(full),3033,0.9000,0,1,6,0,7,74.6739,0.9143,68.2733
OULAD,1,IC-FS(full),3033,1.0000,0,1,6,0,7,74.6739,1.0000,74.6739
OULAD,1,IC-FS(full),4044,0.3000,0,1,6,0,7,74.3269,0.4000,29.7308
OULAD,1,IC-FS(full),4044,0.5000,0,1,6,0,7,74.3269,0.5714,42.4725
OULAD,1,IC-FS(full),4044,0.6000,0,1,6,0,7,74.3269,0.6571,48.8434
OULAD,1,IC-FS(full),4044,0.7000,0,1,6,0,7,74.3269,0.7429,55.2143
OULAD,1,IC-FS(full),4044,0.8000,0,1,6,0,7,74.3269,0.8286,61.5851
OULAD,1,IC-FS(full),4044,0.9000,0,1,6,0,7,74.3269,0.9143,67.9560
OULAD,1,IC-FS(full),4044,1.0000,0,1,6,0,7,74.3269,1.0000,74.3269
OULAD,1,NSGA-II-MOFS,0,0.3000,4,0,9,1,14,80.5828,0.1929,15.5410
OULAD,1,NSGA-II-MOFS,0,0.5000,4,0,9,1,14,80.5828,0.3214,25.9016
OULAD,1,NSGA-II-MOFS,0,0.6000,4,0,9,1,14,80.5828,0.3857,31.0820
OULAD,1,NSGA-II-MOFS,0,0.7000,4,0,9,1,14,80.5828,0.4500,36.2623
OULAD,1,NSGA-II-MOFS,0,0.8000,4,0,9,1,14,80.5828,0.5143,41.4426
OULAD,1,NSGA-II-MOFS,0,0.9000,4,0,9,1,14,80.5828,0.5786,46.6229
OULAD,1,NSGA-II-MOFS,0,1.0000,4,0,9,1,14,80.5828,0.6429,51.8033
OULAD,1,StabilitySelection,0,0.3000,9,0,5,1,15,79.1695,0.1000,7.9169
OULAD,1,StabilitySelection,0,0.5000,9,0,5,1,15,79.1695,0.1667,13.1949
OULAD,1,StabilitySelection,0,0.6000,9,0,5,1,15,79.1695,0.2000,15.8339
OULAD,1,StabilitySelection,0,0.7000,9,0,5,1,15,79.1695,0.2333,18.4729
OULAD,1,StabilitySelection,0,0.8000,9,0,5,1,15,79.1695,0.2667,21.1119
OULAD,1,StabilitySelection,0,0.9000,9,0,5,1,15,79.1695,0.3000,23.7508
OULAD,1,StabilitySelection,0,1.0000,9,0,5,1,15,79.1695,0.3333,26.3898
OULAD,1,Boruta,0,0.3000,14,1,14,3,32,81.9979,0.1625,13.3247
