seed,dataset,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,math,1,69.52341834385074,69.52341834385074,38.892620339274956,58.929495848972515,69.52341834385074,69.52341834385074,38.892620339274956,58.929495848972515,1.0,1.0,1.0,69.52341834385074,69.52341834385074,1.0,1.0,0.0,0.0,7,7
123,math,1,60.09826064905117,60.09826064905117,29.945750452079565,54.94698116484679,60.09826064905117,60.09826064905117,29.945750452079565,54.94698116484679,1.0,1.0,1.0,60.09826064905117,60.09826064905117,1.0,1.0,0.0,0.0,7,7
456,math,1,58.01351417178725,58.01351417178725,20.268825381803026,53.65647642874036,58.01351417178725,58.01351417178725,20.268825381803026,53.65647642874036,1.0,1.0,1.0,58.01351417178725,58.01351417178725,1.0,1.0,0.25,0.25,7,7
789,math,1,57.27629855958097,57.27629855958097,29.077757685352623,48.356361202888195,57.27629855958097,57.27629855958097,29.077757685352623,48.356361202888195,0.7142857142857143,0.7142857142857143,0.7142857142857143,80.18681798341336,80.18681798341336,1.0,1.0,0.75,0.75,7,7
1011,math,1,52.620258797947194,52.620258797947194,18.69282700421941,64.56326374047893,52.620258797947194,52.620258797947194,18.69282700421941,64.56326374047893,0.6714285714285715,0.6714285714285715,0.6714285714285715,78.37059820970859,78.37059820970859,1.0,1.0,0.75,0.75,7,7
2024,math,1,52.326986187745675,52.326986187745675,19.650842473508987,55.71915663805528,52.326986187745675,52.326986187745675,19.650842473508987,55.71915663805528,1.0,1.0,1.0,52.326986187745675,52.326986187745675,1.0,1.0,0.25,0.25,7,7
3033,math,1,55.73193140057167,55.73193140057167,17.22820066646195,52.15875076634572,55.73193140057167,55.73193140057167,17.22820066646195,52.15875076634572,1.0,1.0,1.0,55.73193140057167,55.73193140057167,1.0,1.0,0.0,0.0,7,7
4044,math,1,66.3156885308784,66.3156885308784,8.208813877168305,52.3713414227446,66.3156885308784,66.3156885308784,8.208813877168305,52.3713414227446,1.0,1.0,1.0,66.3156885308784,66.3156885308784,1.0,1.0,0.0,0.0,7,7
