seed,dataset,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,math,0,69.52341834385074,69.52341834385074,30.883399126375664,54.77075888801405,69.52341834385074,69.52341834385074,30.883399126375664,54.77075888801405,1.0,1.0,1.0,69.52341834385074,69.52341834385074,1.0,1.0,0.0,0.0,7,7
123,math,0,60.09826064905117,60.09826064905117,31.17514278468823,54.94698116484679,60.09826064905117,60.09826064905117,31.17514278468823,54.94698116484679,1.0,1.0,1.0,60.09826064905117,60.09826064905117,1.0,1.0,0.0,0.0,7,7
456,math,0,58.01351417178725,58.01351417178725,22.507687092345517,53.200847660613945,58.01351417178725,58.01351417178725,22.507687092345517,53.200847660613945,1.0,1.0,1.0,58.01351417178725,58.01351417178725,1.0,1.0,0.25,0.25,7,7
789,math,0,55.164344218700144,55.164344218700144,25.166650697307976,53.402668231310834,55.164344218700144,55.164344218700144,25.166650697307976,53.402668231310834,1.0,1.0,1.0,55.164344218700144,55.164344218700144,1.0,1.0,0.25,0.25,7,7
1011,math,0,60.37363596682671,60.37363596682671,15.730975483197406,59.22249593674318,60.37363596682671,60.37363596682671,15.730975483197406,59.22249593674318,1.0,1.0,1.0,60.37363596682671,60.37363596682671,1.0,1.0,0.0,0.0,7,7
2024,math,0,52.326986187745675,52.326986187745675,15.347315040490606,59.50108856114782,52.326986187745675,52.326986187745675,15.347315040490606,59.50108856114782,1.0,1.0,1.0,52.326986187745675,52.326986187745675,1.0,1.0,0.25,0.25,7,7
3033,math,0,55.73193140057167,55.73193140057167,6.161744022503515,46.11969761286746,55.73193140057167,55.73193140057167,6.161744022503515,46.11969761286746,1.0,1.0,1.0,55.73193140057167,55.73193140057167,1.0,1.0,0.0,0.0,7,7
4044,math,0,66.3156885308784,66.3156885308784,12.32348804500703,52.3713414227446,66.3156885308784,66.3156885308784,12.32348804500703,52.3713414227446,1.0,1.0,1.0,66.3156885308784,66.3156885308784,1.0,1.0,0.0,0.0,7,7
