alpha,nested_best,accuracy,f1_paper,f1_deploy,AR,AR_available,TVS,IUS_paper,IUS_deploy,IUS_geo,n_features,stability,prec@20%,recall@20%,cv_mean,cv_std,selected
0.0,True,70.89,69.52,69.52,1.0,1.0,1.0,69.523,69.523,88.588,7,1.0,0.667,0.385,64.0,7.43,studytime|schoolsup|famsup|paid|activities|nursery|higher
0.25,False,51.9,53.34,53.34,1.0,1.0,1.0,53.338,53.338,81.098,7,0.659,0.4,0.231,55.93,12.25,schoolsup|higher|romantic|paid|studytime|nursery|internet
0.5,False,51.9,53.34,53.34,1.0,1.0,1.0,53.338,53.338,81.098,7,0.693,0.4,0.231,55.93,12.25,schoolsup|higher|romantic|paid|studytime|nursery|internet
0.75,False,81.01,81.38,81.38,0.714,0.714,1.0,58.125,58.125,83.456,7,0.598,0.933,0.538,79.43,6.51,G1|failures|schoolsup|higher|romantic|paid|studytime
1.0,False,79.75,80.07,80.07,0.486,0.486,1.0,38.893,38.893,72.994,7,0.339,0.8,0.462,83.0,4.52,G1|failures|goout|schoolsup|higher|absences|age
