seed,dataset,horizon,IUS_paper_full,IUS_paper_noTemp,IUS_paper_noAction,IUS_paper_hardDEFS,IUS_deploy_full,IUS_deploy_noTemp,IUS_deploy_noAction,IUS_deploy_hardDEFS,AR_full,AR_available_full,AR_available_noTemp,F1_full,F1_noTemp,TVS_full,TVS_noTemp,alpha_full,alpha_noTemp,n_full,n_noTemp
42,math,2,78.85508511567002,78.85508511567002,29.765521398432792,55.31325070936061,78.85508511567002,78.85508511567002,29.765521398432792,55.31325070936061,0.9,0.9,0.9,87.61676123963336,87.61676123963336,1.0,1.0,0.5,0.5,10,10
123,math,2,82.21645764662284,82.21645764662284,32.29380792671932,65.4822315986873,82.21645764662284,82.21645764662284,32.29380792671932,65.4822315986873,0.9,0.9,0.9,91.35161960735871,91.35161960735871,1.0,1.0,0.5,0.5,10,10
456,math,2,83.09113924050632,83.09113924050632,15.905920050054629,57.0316632982307,83.09113924050632,83.09113924050632,15.905920050054629,57.0316632982307,0.9,0.9,0.9,92.32348804500702,92.32348804500702,1.0,1.0,0.5,0.5,10,10
789,math,2,83.31305106940201,83.31305106940201,25.299123136238016,52.88132086773643,83.31305106940201,83.31305106940201,25.299123136238016,52.88132086773643,0.9,0.9,0.9,92.57005674378001,92.57005674378001,1.0,1.0,0.5,0.5,10,10
1011,math,2,82.12667165696537,82.12667165696537,21.569620253164558,62.569232352498794,82.12667165696537,82.12667165696537,21.569620253164558,62.569232352498794,0.9,0.9,0.9,91.2518573966282,91.2518573966282,1.0,1.0,0.5,0.5,10,10
2024,math,2,79.79473881742808,79.79473881742808,24.26582278481013,56.48686547235482,79.79473881742808,79.79473881742808,24.26582278481013,56.48686547235482,0.9,0.9,0.9,88.66082090825344,88.66082090825344,1.0,1.0,0.5,0.5,10,10
3033,math,2,77.40405425153618,77.40405425153618,22.17721518987342,51.97157055789966,77.40405425153618,77.40405425153618,22.17721518987342,51.97157055789966,0.9,0.9,0.9,86.00450472392909,86.00450472392909,1.0,1.0,0.5,0.5,10,10
4044,math,2,80.96721843557286,80.96721843557286,24.29016553067186,52.951468687204816,80.96721843557286,80.96721843557286,24.29016553067186,52.951468687204816,0.9,0.9,0.9,89.9635760395254,89.9635760395254,1.0,1.0,0.5,0.5,10,10
