alpha,nested_best,accuracy,f1_paper,f1_deploy,AR,AR_available,TVS,IUS_paper,IUS_deploy,IUS_geo,n_features,stability,prec@20%,recall@20%,cv_mean,cv_std,selected
0.0,False,62.03,59.91,59.91,0.97,0.97,1.0,58.108,58.108,83.447,10,1.0,0.467,0.269,59.03,8.02,studytime|schoolsup|famsup|paid|activities|nursery|higher|internet|romantic|famrel
0.25,False,59.49,55.48,55.48,0.97,0.97,1.0,53.813,53.813,81.338,10,0.908,0.267,0.154,57.72,5.05,higher|schoolsup|paid|romantic|studytime|famsup|activities|internet|nursery|goout
0.5,True,87.34,87.62,87.62,0.9,0.9,1.0,78.855,78.855,92.387,10,0.924,0.867,0.5,91.15,6.31,higher|schoolsup|paid|romantic|studytime|famsup|activities|internet|nursery|G2
0.75,False,87.34,87.55,87.55,0.7,0.7,1.0,61.282,61.282,84.94,10,0.67,0.933,0.538,92.14,4.47,G2|G1|failures|higher|schoolsup|paid|romantic|studytime|famsup|activities
1.0,False,87.34,87.55,87.55,0.34,0.34,1.0,29.766,29.766,66.768,10,0.366,1.0,0.577,92.77,5.72,G2|G1|failures|higher|guardian_other|age|goout|schoolsup|Mjob_health|absences
