alpha,nested_best,accuracy,f1_paper,f1_deploy,AR,AR_available,TVS,IUS_paper,IUS_deploy,IUS_geo,n_features,stability,prec@20%,recall@20%,cv_mean,cv_std,selected
0.0,False,62.03,59.91,59.91,0.97,0.97,1.0,58.108,58.108,83.447,10,1.0,0.467,0.269,59.03,8.02,studytime|schoolsup|famsup|paid|activities|nursery|higher|internet|romantic|famrel
0.25,False,60.76,57.34,57.34,0.97,0.97,1.0,55.62,55.62,82.239,10,0.888,0.333,0.192,56.18,5.32,schoolsup|higher|romantic|paid|studytime|nursery|internet|famsup|activities|goout
0.5,True,74.68,75.09,75.09,0.9,0.9,1.0,67.582,67.582,87.756,10,0.966,0.667,0.385,79.79,3.11,schoolsup|higher|romantic|paid|studytime|nursery|internet|famsup|activities|G1
0.75,False,77.22,77.42,77.42,0.77,0.77,1.0,59.612,59.612,84.161,10,0.684,0.8,0.462,81.8,4.03,G1|failures|schoolsup|higher|romantic|paid|studytime|nursery|goout|internet
1.0,False,82.28,82.56,82.56,0.34,0.34,1.0,28.072,28.072,65.477,10,0.327,0.867,0.5,86.05,2.78,G1|failures|goout|schoolsup|higher|absences|age|guardian_father|sex|guardian_other
