dataset,horizon,method,seed,w2,n_tier0,n_tier1,n_tier2,n_tier3,n_total,f1_deploy,AR_available,IUS_deploy
OULAD,1,NSGA-II-MOFS,0,0.7000,4,0,9,1,14,80.5828,0.4500,36.2623
OULAD,1,NSGA-II-MOFS,0,0.8000,4,0,9,1,14,80.5828,0.5143,41.4426
OULAD,1,NSGA-II-MOFS,0,0.9000,4,0,9,1,14,80.5828,0.5786,46.6229
OULAD,1,NSGA-II-MOFS,0,1.0000,4,0,9,1,14,80.5828,0.6429,51.8033
OULAD,1,StabilitySelection,0,0.3000,9,0,5,1,15,79.1695,0.1000,7.9169
OULAD,1,StabilitySelection,0,0.5000,9,0,5,1,15,79.1695,0.1667,13.1949
OULAD,1,StabilitySelection,0,0.6000,9,0,5,1,15,79.1695,0.2000,15.8339
OULAD,1,StabilitySelection,0,0.7000,9,0,5,1,15,79.1695,0.2333,18.4729
OULAD,1,StabilitySelection,0,0.8000,9,0,5,1,15,79.1695,0.2667,21.1119
OULAD,1,StabilitySelection,0,0.9000,9,0,5,1,15,79.1695,0.3000,23.7508
OULAD,1,StabilitySelection,0,1.0000,9,0,5,1,15,79.1695,0.3333,26.3898
OULAD,1,Boruta,0,0.3000,14,1,14,3,32,81.9979,0.1625,13.3247
OULAD,1,Boruta,0,0.5000,14,1,14,3,32,81.9979,0.2500,20.4995
OULAD,1,Boruta,0,0.6000,14,1,14,3,32,81.9979,0.2938,24.0869
OULAD,1,Boruta,0,0.7000,14,1,14,3,32,81.9979,0.3375,27.6743
OULAD,1,Boruta,0,0.8000,14,1,14,3,32,81.9979,0.3813,31.2617
OULAD,1,Boruta,0,0.9000,14,1,14,3,32,81.9979,0.4250,34.8491
OULAD,1,Boruta,0,1.0000,14,1,14,3,32,81.9979,0.4688,38.4365
