alpha,accuracy,f1,AR,TVS,IUS,IUS_geo,n_features,stability,prec@20%,recall@20%,cv_mean,cv_std,selected
0.0,84.6,84.57,0.74,1.0,62.58,85.535,15,1.0,0.998,0.378,84.61,1.05,date_registration|date_unregistration|sum_click_to_date|days_active_to_date|n_distinct_activities|forum_clicks|resource_clicks|oucontent_clicks|subpage_clicks|quiz_clicks|homepage_clicks|click_intensity_last_7d|click_trend_slope|assessment_submitted_count|assessment_on_time_rate
0.25,84.77,84.74,0.74,1.0,62.706,85.593,15,1.0,0.998,0.378,84.47,1.02,date_unregistration|date_registration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks|avg_first_submit_gap_days|n_distinct_activities|forum_clicks|click_trend_slope|oucontent_clicks|subpage_clicks|resource_clicks
0.5,84.84,84.81,0.74,1.0,62.763,85.618,15,1.0,0.998,0.378,84.42,0.99,date_unregistration|assessment_on_time_rate|days_active_to_date|date_registration|assessment_submitted_count|click_intensity_last_7d|sum_click_to_date|homepage_clicks|avg_first_submit_gap_days|n_distinct_activities|forum_clicks|click_trend_slope|oucontent_clicks|subpage_clicks|resource_clicks
0.75,86.58,86.58,0.627,1.0,54.254,81.56,15,0.945,0.996,0.377,86.09,1.06,date_unregistration|assessment_on_time_rate|days_active_to_date|score_TMA1|assessment_submitted_count|weighted_assessment_score_to_date|click_intensity_last_7d|sum_click_to_date|homepage_clicks|avg_first_submit_gap_days|n_distinct_activities|forum_clicks|click_trend_slope|oucontent_clicks|subpage_clicks
1.0,86.53,86.53,0.58,1.0,50.189,79.47,15,0.988,0.996,0.377,86.15,0.86,score_TMA1|weighted_assessment_score_to_date|date_unregistration|assessment_on_time_rate|days_active_to_date|assessment_submitted_count|click_intensity_last_7d|score_CMA1|sum_click_to_date|homepage_clicks|avg_first_submit_gap_days|n_distinct_activities|forum_clicks|click_trend_slope|oucontent_clicks
